gene1	gene2	pathway	interaction	type
522	PRKACB	CACNA1F	hsa04024	--gt	P
524	PRKACG	CACNA1C	hsa04024	--gt	P
525	PRKACG	CACNA1D	hsa04024	--gt	P
526	PRKACG	CACNA1F	hsa04024	--gt	P
528	FXYD1	ATP1B4	hsa04024	---	C
529	FXYD1	ATP1A1	hsa04024	---	C
530	FXYD1	ATP1A2	hsa04024	---	C
531	FXYD1	ATP1A3	hsa04024	---	C
532	FXYD1	ATP1A4	hsa04024	---	C
533	FXYD1	ATP1B1	hsa04024	---	C
534	FXYD1	ATP1B2	hsa04024	---	C
535	FXYD1	ATP1B3	hsa04024	---	C
536	FXYD1	FXYD2	hsa04024	---	C
544	CREB3	FOS	hsa04024	--gt	P
545	CREB1	FOS	hsa04024	--gt	P
546	CREB3L4	FOS	hsa04024	--gt	P
547	CREB3L2	FOS	hsa04024	--gt	P
549	CREB3L1	FOS	hsa04024	--gt	P
550	CREB5	FOS	hsa04024	--gt	P
551	CREB3	JUN	hsa04024	--gt	P
552	CREB1	JUN	hsa04024	--gt	P
553	CREB3L4	JUN	hsa04024	--gt	P
554	CREB3L2	JUN	hsa04024	--gt	P
556	CREB3L1	JUN	hsa04024	--gt	P
557	CREB5	JUN	hsa04024	--gt	P
558	GLI3	GLI1	hsa04024	--gt	P
559	GLI3	PTCH1	hsa04024	--gt	P
560	GLI3	HHIP	hsa04024	--gt	P
561	NFKB1	AMH	hsa04024	--gt	P
562	RELA	AMH	hsa04024	--gt	P
564	PPARA	ACOX1	hsa04024	--gt	P
565	PPARA	ACOX3	hsa04024	--gt	P
566	NFATC1	F2R	hsa04024	--gt	P
567	PRKACA	PDE10A	hsa04024	--gt	P
569	PRKACA	PDE3B	hsa04024	--gt	P
570	PRKACA	PDE4A	hsa04024	--gt	P
571	PRKACA	PDE4B	hsa04024	--gt	P
572	PRKACA	PDE4C	hsa04024	--gt	P
573	PRKACA	PDE4D	hsa04024	--gt	P
574	PRKACB	PDE10A	hsa04024	--gt	P
576	PRKACB	PDE3B	hsa04024	--gt	P
577	PRKACB	PDE4A	hsa04024	--gt	P
578	PRKACB	PDE4B	hsa04024	--gt	P
579	PRKACB	PDE4C	hsa04024	--gt	P
580	PRKACB	PDE4D	hsa04024	--gt	P
581	PRKACG	PDE10A	hsa04024	--gt	P
583	PRKACG	PDE3B	hsa04024	--gt	P
584	PRKACG	PDE4A	hsa04024	--gt	P
585	PRKACG	PDE4B	hsa04024	--gt	P
586	PRKACG	PDE4C	hsa04024	--gt	P
587	PRKACG	PDE4D	hsa04024	--gt	P
588	ARAP3	RHOA	hsa04024	--|	N
589	PIK3CA	AKT3	hsa04024	--gt	P
590	PIK3CA	AKT1	hsa04024	--gt	P
591	PIK3CA	AKT2	hsa04024	--gt	P
592	PIK3CB	AKT3	hsa04024	--gt	P
593	PIK3CB	AKT1	hsa04024	--gt	P
594	PIK3CB	AKT2	hsa04024	--gt	P
595	PIK3CD	AKT3	hsa04024	--gt	P
596	PIK3CD	AKT1	hsa04024	--gt	P
597	PIK3CD	AKT2	hsa04024	--gt	P
598	PIK3R1	AKT3	hsa04024	--gt	P
599	PIK3R1	AKT1	hsa04024	--gt	P
600	PIK3R1	AKT2	hsa04024	--gt	P
601	PIK3R2	AKT3	hsa04024	--gt	P
602	PIK3R2	AKT1	hsa04024	--gt	P
603	PIK3R2	AKT2	hsa04024	--gt	P
604	PIK3R3	AKT3	hsa04024	--gt	P
605	PIK3R3	AKT1	hsa04024	--gt	P
606	PIK3R3	AKT2	hsa04024	--gt	P
607	PRKACA	GLI3	hsa04024	--|	N
608	PRKACB	GLI3	hsa04024	--|	N
609	PRKACG	GLI3	hsa04024	--|	N
610	CAMK4	PDE10A	hsa04024	--|	N
612	CAMK4	PDE3B	hsa04024	--|	N
613	CAMK4	PDE4A	hsa04024	--|	N
614	CAMK4	PDE4B	hsa04024	--|	N
615	CAMK4	PDE4C	hsa04024	--|	N
616	CAMK4	PDE4D	hsa04024	--|	N
617	CAMK2A	PDE10A	hsa04024	--|	N
619	CAMK2A	PDE3B	hsa04024	--|	N
620	CAMK2A	PDE4A	hsa04024	--|	N
621	CAMK2A	PDE4B	hsa04024	--|	N
622	CAMK2A	PDE4C	hsa04024	--|	N
623	CAMK2A	PDE4D	hsa04024	--|	N
624	CAMK2B	PDE10A	hsa04024	--|	N
626	CAMK2B	PDE3B	hsa04024	--|	N
627	CAMK2B	PDE4A	hsa04024	--|	N
628	CAMK2B	PDE4B	hsa04024	--|	N
629	CAMK2B	PDE4C	hsa04024	--|	N
630	CAMK2B	PDE4D	hsa04024	--|	N
631	CAMK2D	PDE10A	hsa04024	--|	N
633	CAMK2D	PDE3B	hsa04024	--|	N
634	CAMK2D	PDE4A	hsa04024	--|	N
635	CAMK2D	PDE4B	hsa04024	--|	N
636	CAMK2D	PDE4C	hsa04024	--|	N
637	CAMK2D	PDE4D	hsa04024	--|	N
638	CAMK2G	PDE10A	hsa04024	--|	N
640	CAMK2G	PDE3B	hsa04024	--|	N
641	CAMK2G	PDE4A	hsa04024	--|	N
642	CAMK2G	PDE4B	hsa04024	--|	N
643	CAMK2G	PDE4C	hsa04024	--|	N
644	CAMK2G	PDE4D	hsa04024	--|	N
645	BRAF	MAP2K1	hsa04024	--gt	P
646	BRAF	MAP2K2	hsa04024	--gt	P
647	PRKACA	RAF1	hsa04024	--|	N
648	PRKACB	RAF1	hsa04024	--|	N
649	PRKACG	RAF1	hsa04024	--|	N
650	PRKACA	LIPE	hsa04024	--gt	P
651	PRKACB	LIPE	hsa04024	--gt	P
652	PRKACG	LIPE	hsa04024	--gt	P
653	PRKACA	TNNI3	hsa04024	--gt	P
654	PRKACB	TNNI3	hsa04024	--gt	P
655	PRKACG	TNNI3	hsa04024	--gt	P
708	POMC	ADORA2A	hsa04024	--gt	P
710	POMC	ADRB1	hsa04024	--gt	P
714	POMC	GIPR	hsa04024	--gt	P
715	POMC	GLP1R	hsa04024	--gt	P
717	POMC	HTR6	hsa04024	--gt	P
721	POMC	PTGER2	hsa04024	--gt	P
722	POMC	TSHR	hsa04024	--gt	P
723	POMC	VIPR2	hsa04024	--gt	P
725	GCG	ADORA2A	hsa04024	--gt	P
727	GCG	ADRB1	hsa04024	--gt	P
731	GCG	GIPR	hsa04024	--gt	P
732	GCG	GLP1R	hsa04024	--gt	P
734	GCG	HTR6	hsa04024	--gt	P
738	GCG	PTGER2	hsa04024	--gt	P
739	GCG	TSHR	hsa04024	--gt	P
740	GCG	VIPR2	hsa04024	--gt	P
777	EDN1	ADORA1	hsa04024	--gt	P
778	EDN1	ADRB2	hsa04024	--gt	P
781	EDN1	GABBR1	hsa04024	--gt	P
783	EDN1	HCAR1	hsa04024	--gt	P
784	EDN1	FFAR2	hsa04024	--gt	P
789	EDN1	HTR1F	hsa04024	--gt	P
790	EDN1	HCAR2	hsa04024	--gt	P
792	EDN1	OXTR	hsa04024	--gt	P
793	EDN1	SUCNR1	hsa04024	--gt	P
794	EDN1	PTGER3	hsa04024	--gt	P
796	EDN1	SSTR2	hsa04024	--gt	P
798	EDN1	HCAR3	hsa04024	--gt	P
799	EDN1	GABBR2	hsa04024	--gt	P
802	EDN2	ADORA1	hsa04024	--gt	P
803	EDN2	ADRB2	hsa04024	--gt	P
806	EDN2	GABBR1	hsa04024	--gt	P
808	EDN2	HCAR1	hsa04024	--gt	P
809	EDN2	FFAR2	hsa04024	--gt	P
814	EDN2	HTR1F	hsa04024	--gt	P
815	EDN2	HCAR2	hsa04024	--gt	P
817	EDN2	OXTR	hsa04024	--gt	P
818	EDN2	SUCNR1	hsa04024	--gt	P
819	EDN2	PTGER3	hsa04024	--gt	P
821	EDN2	SSTR2	hsa04024	--gt	P
823	EDN2	HCAR3	hsa04024	--gt	P
824	EDN2	GABBR2	hsa04024	--gt	P
827	EDN3	ADORA1	hsa04024	--gt	P
828	EDN3	ADRB2	hsa04024	--gt	P
831	EDN3	GABBR1	hsa04024	--gt	P
833	EDN3	HCAR1	hsa04024	--gt	P
834	EDN3	FFAR2	hsa04024	--gt	P
839	EDN3	HTR1F	hsa04024	--gt	P
840	EDN3	HCAR2	hsa04024	--gt	P
842	EDN3	OXTR	hsa04024	--gt	P
843	EDN3	SUCNR1	hsa04024	--gt	P
844	EDN3	PTGER3	hsa04024	--gt	P
846	EDN3	SSTR2	hsa04024	--gt	P
848	EDN3	HCAR3	hsa04024	--gt	P
849	EDN3	GABBR2	hsa04024	--gt	P
852	SST	ADORA1	hsa04024	--gt	P
853	SST	ADRB2	hsa04024	--gt	P
856	SST	GABBR1	hsa04024	--gt	P
858	SST	HCAR1	hsa04024	--gt	P
859	SST	FFAR2	hsa04024	--gt	P
864	SST	HTR1F	hsa04024	--gt	P
865	SST	HCAR2	hsa04024	--gt	P
867	SST	OXTR	hsa04024	--gt	P
868	SST	SUCNR1	hsa04024	--gt	P
869	SST	PTGER3	hsa04024	--gt	P
871	SST	SSTR2	hsa04024	--gt	P
873	SST	HCAR3	hsa04024	--gt	P
874	SST	GABBR2	hsa04024	--gt	P
877	OXT	ADORA1	hsa04024	--gt	P
878	OXT	ADRB2	hsa04024	--gt	P
881	OXT	GABBR1	hsa04024	--gt	P
883	OXT	HCAR1	hsa04024	--gt	P
884	OXT	FFAR2	hsa04024	--gt	P
889	OXT	HTR1F	hsa04024	--gt	P
890	OXT	HCAR2	hsa04024	--gt	P
892	OXT	OXTR	hsa04024	--gt	P
893	OXT	SUCNR1	hsa04024	--gt	P
894	OXT	PTGER3	hsa04024	--gt	P
896	OXT	SSTR2	hsa04024	--gt	P
898	OXT	HCAR3	hsa04024	--gt	P
899	OXT	GABBR2	hsa04024	--gt	P
