gene1	gene2	pathway	interaction
PRKACA	GRIN1	hsa04024	--gt
PRKACA	GRIN2A	hsa04024	--gt
PRKACA	GRIN2B	hsa04024	--gt
PRKACA	GRIN2C	hsa04024	--gt
PRKACA	GRIN2D	hsa04024	--gt
PRKACB	GRIN3A	hsa04024	--gt
PRKACB	GRIN3B	hsa04024	--gt
PRKACB	GRIN1	hsa04024	--gt
PRKACB	GRIN2A	hsa04024	--gt
PRKACB	GRIN2B	hsa04024	--gt
PRKACB	GRIN2C	hsa04024	--gt
PRKACB	GRIN2D	hsa04024	--gt
PRKACG	GRIN3A	hsa04024	--gt
PRKACG	GRIN3B	hsa04024	--gt
PRKACG	GRIN1	hsa04024	--gt
PRKACG	GRIN2A	hsa04024	--gt
PRKACG	GRIN2B	hsa04024	--gt
PRKACG	GRIN2C	hsa04024	--gt
PRKACG	GRIN2D	hsa04024	--gt
PRKACA	GRIA1	hsa04024	--gt
PRKACA	GRIA2	hsa04024	--gt
PRKACA	GRIA3	hsa04024	--gt
PRKACA	GRIA4	hsa04024	--gt
PRKACB	GRIA1	hsa04024	--gt
PRKACB	GRIA2	hsa04024	--gt
PRKACB	GRIA3	hsa04024	--gt
PRKACB	GRIA4	hsa04024	--gt
PRKACG	GRIA1	hsa04024	--gt
PRKACG	GRIA2	hsa04024	--gt
PRKACG	GRIA3	hsa04024	--gt
PRKACG	GRIA4	hsa04024	--gt
PRKACA	CFTR	hsa04024	--gt
PRKACB	CFTR	hsa04024	--gt
PRKACG	CFTR	hsa04024	--gt
PRKACA	FXYD1	hsa04024	--gt
PRKACB	FXYD1	hsa04024	--gt
PRKACG	FXYD1	hsa04024	--gt
PRKACA	SLC9A1	hsa04024	--gt
PRKACB	SLC9A1	hsa04024	--gt
PRKACG	SLC9A1	hsa04024	--gt
PRKACA	ATP2B1	hsa04024	--gt
PRKACA	ATP2B2	hsa04024	--gt
PRKACA	ATP2B3	hsa04024	--gt
PRKACA	ATP2B4	hsa04024	--gt
PRKACB	ATP2B1	hsa04024	--gt
PRKACB	ATP2B2	hsa04024	--gt
PRKACB	ATP2B3	hsa04024	--gt
PRKACB	ATP2B4	hsa04024	--gt
PRKACG	ATP2B1	hsa04024	--gt
PRKACG	ATP2B2	hsa04024	--gt
PRKACG	ATP2B3	hsa04024	--gt
PRKACG	ATP2B4	hsa04024	--gt
PRKACA	CACNA1C	hsa04024	--gt
PRKACA	CACNA1D	hsa04024	--gt
PRKACA	CACNA1F	hsa04024	--gt
PRKACA	CACNA1S	hsa04024	--gt
PRKACB	CACNA1C	hsa04024	--gt
PRKACB	CACNA1D	hsa04024	--gt
PRKACB	CACNA1F	hsa04024	--gt
PRKACB	CACNA1S	hsa04024	--gt
PRKACG	CACNA1C	hsa04024	--gt
PRKACG	CACNA1D	hsa04024	--gt
PRKACG	CACNA1F	hsa04024	--gt
PRKACG	CACNA1S	hsa04024	--gt
FXYD1	ATP1B4	hsa04024	---
FXYD1	ATP1A1	hsa04024	---
FXYD1	ATP1A2	hsa04024	---
FXYD1	ATP1A3	hsa04024	---
FXYD1	ATP1A4	hsa04024	---
FXYD1	ATP1B1	hsa04024	---
FXYD1	ATP1B2	hsa04024	---
FXYD1	ATP1B3	hsa04024	---
FXYD1	FXYD2	hsa04024	---
CREB3	BDNF	hsa04024	--gt
CREB1	BDNF	hsa04024	--gt
CREB3L4	BDNF	hsa04024	--gt
CREB3L2	BDNF	hsa04024	--gt
CREB3L3	BDNF	hsa04024	--gt
CREB3L1	BDNF	hsa04024	--gt
CREB5	BDNF	hsa04024	--gt
CREB3	FOS	hsa04024	--gt
CREB1	FOS	hsa04024	--gt
CREB3L4	FOS	hsa04024	--gt
CREB3L2	FOS	hsa04024	--gt
CREB3L3	FOS	hsa04024	--gt
CREB3L1	FOS	hsa04024	--gt
CREB5	FOS	hsa04024	--gt
CREB3	JUN	hsa04024	--gt
CREB1	JUN	hsa04024	--gt
CREB3L4	JUN	hsa04024	--gt
CREB3L2	JUN	hsa04024	--gt
CREB3L3	JUN	hsa04024	--gt
CREB3L1	JUN	hsa04024	--gt
CREB5	JUN	hsa04024	--gt
GLI3	GLI1	hsa04024	--gt
GLI3	PTCH1	hsa04024	--gt
GLI3	HHIP	hsa04024	--gt
NFKB1	AMH	hsa04024	--gt
RELA	AMH	hsa04024	--gt
SOX9	AMH	hsa04024	--gt
PPARA	ACOX1	hsa04024	--gt
PPARA	ACOX3	hsa04024	--gt
NFATC1	F2R	hsa04024	--gt
PRKACA	PDE10A	hsa04024	--gt
PRKACA	PDE3A	hsa04024	--gt
PRKACA	PDE3B	hsa04024	--gt
PRKACA	PDE4A	hsa04024	--gt
PRKACA	PDE4B	hsa04024	--gt
PRKACA	PDE4C	hsa04024	--gt
PRKACA	PDE4D	hsa04024	--gt
PRKACB	PDE10A	hsa04024	--gt
PRKACB	PDE3A	hsa04024	--gt
PRKACB	PDE3B	hsa04024	--gt
PRKACB	PDE4A	hsa04024	--gt
PRKACB	PDE4B	hsa04024	--gt
PRKACB	PDE4C	hsa04024	--gt
PRKACB	PDE4D	hsa04024	--gt
PRKACG	PDE10A	hsa04024	--gt
PRKACG	PDE3A	hsa04024	--gt
PRKACG	PDE3B	hsa04024	--gt
PRKACG	PDE4A	hsa04024	--gt
PRKACG	PDE4B	hsa04024	--gt
PRKACG	PDE4C	hsa04024	--gt
PRKACG	PDE4D	hsa04024	--gt
ARAP3	RHOA	hsa04024	--|
PIK3CA	AKT3	hsa04024	--gt
PIK3CA	AKT1	hsa04024	--gt
PIK3CA	AKT2	hsa04024	--gt
PIK3CB	AKT3	hsa04024	--gt
PIK3CB	AKT1	hsa04024	--gt
PIK3CB	AKT2	hsa04024	--gt
PIK3CD	AKT3	hsa04024	--gt
PIK3CD	AKT1	hsa04024	--gt
PIK3CD	AKT2	hsa04024	--gt
PIK3R1	AKT3	hsa04024	--gt
PIK3R1	AKT1	hsa04024	--gt
PIK3R1	AKT2	hsa04024	--gt
PIK3R2	AKT3	hsa04024	--gt
PIK3R2	AKT1	hsa04024	--gt
PIK3R2	AKT2	hsa04024	--gt
PIK3R3	AKT3	hsa04024	--gt
PIK3R3	AKT1	hsa04024	--gt
PIK3R3	AKT2	hsa04024	--gt
PRKACA	GLI3	hsa04024	--|
PRKACB	GLI3	hsa04024	--|
PRKACG	GLI3	hsa04024	--|
CAMK4	PDE10A	hsa04024	--|
