gene1	gene2	pathway	interaction	type
PPP1CA	CREB3L1	hsa04024	--|	N
PPP1CA	CREB5	hsa04024	--|	N
PPP1CB	CREB3	hsa04024	--|	N
PPP1CB	CREB1	hsa04024	--|	N
PPP1CB	CREB3L4	hsa04024	--|	N
PPP1CB	CREB3L2	hsa04024	--|	N
PPP1CB	CREB3L3	hsa04024	--|	N
PPP1CB	CREB3L1	hsa04024	--|	N
PPP1CB	CREB5	hsa04024	--|	N
PPP1CC	CREB3	hsa04024	--|	N
PPP1CC	CREB1	hsa04024	--|	N
PPP1CC	CREB3L4	hsa04024	--|	N
PPP1CC	CREB3L2	hsa04024	--|	N
PPP1CC	CREB3L3	hsa04024	--|	N
PPP1CC	CREB3L1	hsa04024	--|	N
PPP1CC	CREB5	hsa04024	--|	N
PRKACA	BAD	hsa04024	--|	N
PRKACB	BAD	hsa04024	--|	N
PRKACG	BAD	hsa04024	--|	N
PRKACA	RHOA	hsa04024	--|	N
PRKACB	RHOA	hsa04024	--|	N
PRKACG	RHOA	hsa04024	--|	N
ROCK1	PPP1R12A	hsa04024	--|	N
ROCK2	PPP1R12A	hsa04024	--|	N
RAF1	MAP2K1	hsa04024	--gt	P
RAF1	MAP2K2	hsa04024	--gt	P
MAP2K1	MAPK1	hsa04024	--gt	P
MAP2K1	MAPK3	hsa04024	--gt	P
MAP2K2	MAPK1	hsa04024	--gt	P
MAP2K2	MAPK3	hsa04024	--gt	P
MAPK1	CREB3	hsa04024	--gt	P
MAPK1	CREB1	hsa04024	--gt	P
MAPK1	CREB3L4	hsa04024	--gt	P
MAPK1	CREB3L2	hsa04024	--gt	P
MAPK1	CREB3L3	hsa04024	--gt	P
MAPK1	CREB3L1	hsa04024	--gt	P
MAPK1	CREB5	hsa04024	--gt	P
MAPK3	CREB3	hsa04024	--gt	P
MAPK3	CREB1	hsa04024	--gt	P
MAPK3	CREB3L4	hsa04024	--gt	P
MAPK3	CREB3L2	hsa04024	--gt	P
MAPK3	CREB3L3	hsa04024	--gt	P
MAPK3	CREB3L1	hsa04024	--gt	P
MAPK3	CREB5	hsa04024	--gt	P
PRKACA	PPP1R1B	hsa04024	--gt	P
PRKACB	PPP1R1B	hsa04024	--gt	P
PRKACG	PPP1R1B	hsa04024	--gt	P
PRKACA	PPARA	hsa04024	--gt	P
PRKACB	PPARA	hsa04024	--gt	P
PRKACG	PPARA	hsa04024	--gt	P
PRKACA	NFATC1	hsa04024	--|	N
PRKACB	NFATC1	hsa04024	--|	N
PRKACG	NFATC1	hsa04024	--|	N
PPP1R12A	MYL9	hsa04024	--|	N
PRKACA	PLN	hsa04024	--gt	P
PRKACB	PLN	hsa04024	--gt	P
PRKACG	PLN	hsa04024	--gt	P
PRKACA	RYR2	hsa04024	--gt	P
PRKACB	RYR2	hsa04024	--gt	P
