gene1	gene2	interaction	type	type.1
PRKCG	NRAS	hsa04010	+p	M
PRKCG	RRAS	hsa04010	+p	M
PRKCA	RAF1	hsa04010	+p	M
PRKCB	RAF1	hsa04010	+p	M
PRKCG	RAF1	hsa04010	+p	M
SOS1	RRAS2	hsa04010	--gt	P
SOS1	MRAS	hsa04010	--gt	P
SOS1	HRAS	hsa04010	--gt	P
SOS1	KRAS	hsa04010	--gt	P
SOS1	NRAS	hsa04010	--gt	P
SOS1	RRAS	hsa04010	--gt	P
SOS2	RRAS2	hsa04010	--gt	P
SOS2	MRAS	hsa04010	--gt	P
SOS2	HRAS	hsa04010	--gt	P
SOS2	KRAS	hsa04010	--gt	P
SOS2	NRAS	hsa04010	--gt	P
SOS2	RRAS	hsa04010	--gt	P
RRAS2	BRAF	hsa04010	--gt	P
MRAS	BRAF	hsa04010	--gt	P
HRAS	BRAF	hsa04010	--gt	P
KRAS	BRAF	hsa04010	--gt	P
NRAS	BRAF	hsa04010	--gt	P
RRAS	BRAF	hsa04010	--gt	P
RRAS2	RAF1	hsa04010	--gt	P
MRAS	RAF1	hsa04010	--gt	P
HRAS	RAF1	hsa04010	--gt	P
KRAS	RAF1	hsa04010	--gt	P
NRAS	RAF1	hsa04010	--gt	P
RRAS	RAF1	hsa04010	--gt	P
BRAF	MAP2K1	hsa04010	+p	M
BRAF	MAP2K2	hsa04010	+p	M
RAF1	MAP2K1	hsa04010	+p	M
RAF1	MAP2K2	hsa04010	+p	M
MAP2K1	MAPK1	hsa04010	+p	M
MAP2K1	MAPK3	hsa04010	+p	M
MAP2K2	MAPK1	hsa04010	+p	M
MAP2K2	MAPK3	hsa04010	+p	M
MAPK1	MAPT	hsa04010	+p	M
MAPK3	MAPT	hsa04010	+p	M
MAPK1	STMN1	hsa04010	+p	M
MAPK3	STMN1	hsa04010	+p	M
MAPK1	PLA2G4B	hsa04010	+p	M
MAPK1	PLA2G4A	hsa04010	+p	M
MAPK1	PLA2G4C	hsa04010	+p	M
MAPK1	JMJD7-PLA2G4B	hsa04010	+p	M
MAPK3	PLA2G4B	hsa04010	+p	M
MAPK3	PLA2G4A	hsa04010	+p	M
